PopupuiReceiver
Mobile tracker
Samsung setup wizard
DCMProvider
OMACP
Peel Smart Remote
Moovit
KLMS Agent
ChatON
SecurityLogAgent
Clock
Health Service
feedly
Wi-Fi Direct share
KNOX
com.android.browser.provider
CloudAgent
Google Play Newsstand
Weather
Samsung account
Nearby Service
WiFi File Transfer Pro
Google Text-to-speech Engine
Software update
Netflix
Security policy updates
Quick connect
רכבת ישראל
Email
GestureService
DreamStream By EL AL
MX Player
Entertainment
Travel wallpaper
Samsung Link Platform
Samsung Galaxy
Remote Controls
Gett
KNOX SetupWizardClient
SOAgent
S Voice
DiagMonAgent
Docs
Calculator
Memo
Camera
Sheets
Package Access Helper
Google Partner Setup
Car mode
ShootingModeProvider
Intelligence Service
SoundAlive
Assistant menu
com.qualcomm.timeservice
Google Play Games
Kids Mode
Kies Application BnR
Help
com.sec.android.app.chromecustomizations
מכבי שרותי בריאות
com.android.providers.partnerbookmarks
Terminal Emulator
Android System
My Files
com.samsung.android.app.watchmanagerstub
Music
BlurbCheckout
FilterProvider
Filter Installer
Active applications
ELM Agent
New registration
Samsung Syncadapters
SettingSearchProvider
MTP application
Samsung MirrorLink 1.1
Service mode RIL
ConfigUpdater
TouchWiz home
SmartcardManager
Dropbox
Key Chain
Root Checker Basic
Analytics
ClipboardSaveService
Group Play
Samsung keyboard
IndexService
Translate
Certificate installer
External Storage
RilNotifier
Documents
Nearby devices
Google Calendar Sync
ApplicationName
AirWakeUp
