batch_size,loss,accuracy,val_loss,val_accuracy
16,0.0236003175377845,0.9945573806762696,0.0234323050826787,0.994763433933258
32,0.0452029034495353,0.9905704259872437,0.043722528964281,0.9905888438224792
64,0.0626177340745925,0.9851232171058656,0.0642844215035438,0.9849677681922911
128,0.0710488334298133,0.985741138458252,0.07077606767416,0.9852241277694702
512,0.1645434945821762,0.959548830986023,0.1611775159835815,0.9591328501701356
1024,0.2761554718017578,0.9304040670394896,0.2733380794525146,0.9311190843582152
