hidden_neurons,loss,accuracy,val_loss,val_accuracy
[18],0.0432487688958644,0.9902774691581726,0.0432508550584316,0.9899113774299622
"[18, 18]",0.0112386997789144,0.9978485703468324,0.0123279774561524,0.9978944063186646
"[18, 18, 18]",0.0161164216697216,0.9968461394309998,0.0190973635762929,0.9970155358314514
"[18, 18, 18, 18]",0.0181180443614721,0.9958390593528748,0.0201120432466268,0.995129644870758
