hidden_neurons,loss,accuracy,val_loss,val_accuracy
1,1.945120930671692,0.3196909427642822,1.94750452041626,0.3205104768276214
2,1.051277995109558,0.6821080446243286,1.061322569847107,0.6828035712242126
4,0.4638139307498932,0.9074891805648804,0.4600345194339752,0.9103559255599976
8,0.1832431256771087,0.9526506066322328,0.1836288422346115,0.950911819934845
12,0.0701119899749755,0.98566335439682,0.0689912438392639,0.9853888750076294
18,0.0452029034495353,0.9905704259872437,0.043722528964281,0.9905888438224792
40,0.0160348955541849,0.9964341521263124,0.0174101199954748,0.9963746666908264
80,0.0077959056943655,0.9986542463302612,0.011361732147634,0.9984253644943236
256,0.00383962970227,0.9995147585868835,0.0070774112828075,0.9991943836212158
512,0.0029191102366894,0.9996063113212584,0.009277063421905,0.999249279499054
1024,0.0033080386929214,0.9995926022529602,0.006825485266745,0.999230980873108
