batch_size,loss,accuracy,val_loss,val_accuracy
16,0.0647115781903266,0.9862492680549622,0.0638710409402847,0.983649492263794
32,0.0859311148524284,0.9786872863769532,0.0847458243370056,0.978815734386444
64,0.127094566822052,0.9714685678482056,0.1236009001731872,0.972334086894989
128,0.1879151165485382,0.9549850821495056,0.1814213097095489,0.9551230669021606
512,0.4791895151138305,0.888735294342041,0.4580659866333008,0.890581488609314
1024,0.8814852833747864,0.7684025764465332,0.8472837805747986,0.8006445169448853
