neurons,loss,accuracy,val_loss,val_accuracy
[18],0.0995447933673858,0.9785590767860411,0.097020573914051,0.9792185425758362
"[18, 18]",0.047559980303049,0.989796817302704,0.0470088832080364,0.9889959096908568
"[18, 18, 18]",0.0621983483433723,0.9856999516487122,0.0593675300478935,0.9841987490653992
