learning_rate,loss,accuracy,val_loss,val_accuracy
0.0003,0.0859311148524284,0.9786872863769532,0.0847458243370056,0.978815734386444
0.001,0.0380998514592647,0.9912341237068176,0.0363740064203739,0.9920902252197266
0.01,0.0333771258592605,0.99319326877594,0.0349274091422557,0.9914860129356384
0.1,0.3882893919944763,0.9244853854179382,0.2722470462322235,0.934597909450531
